,Title,Link,Year,Season
158,Ergo Proxy,790/Ergo-Proxy,2006,Spring
159,Major S2,558/Major-S2,2006,Spring
160,Futari wa Precure: Splash☆Star,1534/Futari-wa-Precure-SplashStar,2006,Spring
161,Youkai Ningen Bem (2006),4823/Youkai-Ningen-Bem-2006,2006,Spring
162,Bakukyuu HIT! Crash B-Daman,4563/Bakukyuu-HIT-Crash-BDaman,2006,Spring
163,Wan Wan Serepu Soreyuke! Tetsunoshin,4101/Wan-Wan-Serepu-Soreyuke-Tetsunoshin,2006,Spring
164,Furakappa,3414/Furakappa,2006,Spring
165,ONE PIECE THE MOVIE: Karakuri-jou no Mecha Kyohei,465/ONE-PIECE-THE-MOVIE-Karakurijou-no-Mecha-Kyohei,2006,Spring
166,Meitantei Conan: Tantei-tachi no Requiem,1506/Meitantei-Conan-Tanteitachi-no-Requiem,2006,Spring
167,Doraemon: Nobita no Kyouryuu (2006),2392/Doraemon-Nobita-no-Kyouryuu-2006,2006,Spring
168,Kidou Senshi Z Gundam: A New Translation III - Hoshi no Kodou wa Ai,1969/Kidou-Senshi-Z-Gundam-A-New-Translation-III--Hoshi-no-Kodou-wa-Ai,2006,Spring
169,Hokuto no Ken: Raoh Gaiden Junai-hen,1773/Hokuto-no-Ken-Raoh-Gaiden-Junaihen,2006,Spring
170,Keroro Gunsou Movie 1,2407/Keroro-Gunsou-Movie-1,2006,Spring
171,Crayon Shin-chan: Densetsu wo Yobu Odore! Amigo!,8366/Crayon-Shinchan-Densetsu-wo-Yobu-Odore-Amigo,2006,Spring
172,Haru no Ashioto The Movie: Ourin Dakkan,1621/Haru-no-Ashioto-The-Movie-Ourin-Dakkan,2006,Spring
173,Yonna in the Solitary Fortress,1031/Yonna-in-the-Solitary-Fortress,2006,Spring
174,Tachiguishi Retsuden,2388/Tachiguishi-Retsuden,2006,Spring
175,Majime ni Fumajime Kaiketsu Zorori: Nazo no Otakara Daisakusen,3659/Majime-ni-Fumajime-Kaiketsu-Zorori-Nazo-no-Otakara-Daisakusen,2006,Spring
176,BLEACH: The Sealed Sword Frenzy,834/BLEACH-The-Sealed-Sword-Frenzy,2006,Spring
177,Hagane no Renkinjutsushi: PREMIUM COLLECTION,908/Hagane-no-Renkinjutsushi-PREMIUM-COLLECTION,2006,Spring
178,Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,1015/Full-Metal-Panic-The-Second-Raid-Wari-to-Hima-na-Sentaichou-no-Ichinichi,2006,Spring
179,Senritsu no Mirage Pokemon,1527/Senritsu-no-Mirage-Pokemon,2006,Spring
180,Dai Mahou Touge,933/Dai-Mahou-Touge,2006,Spring
181,Tennis no Ouji-sama: Zenkoku Taikai-hen,995/Tennis-no-Oujisama-Zenkoku-Taikaihen,2006,Spring
182,Kyou no Go no Ni,837/Kyou-no-Go-no-Ni,2006,Spring
183,ARIA The NATURAL: Sono Futatabi Deaeru Kiseki ni...,5244/ARIA-The-NATURAL-Sono-Futatabi-Deaeru-Kiseki-ni,2006,Spring
184,Kidou Senshi Gundam MS IGLOO: Mokushiroku 0079,1916/Kidou-Senshi-Gundam-MS-IGLOO-Mokushiroku-0079,2006,Spring
185,Mitsu x Mitsu Drops,1838/Mitsu-x-Mitsu-Drops,2006,Spring
186,Ar Tonelico: Sekai no Owari de Utai Tsuzukeru Shoujo,1202/Ar-Tonelico-Sekai-no-Owari-de-Utai-Tsuzukeru-Shoujo,2006,Spring
187,Angel's Feather,20568/Angels-Feather,2006,Spring
188,Kidou Senshi Gundam SEED DESTINY Special Edition,2294/Kidou-Senshi-Gundam-SEED-DESTINY-Special-Edition,2006,Spring
189,Pikachu no Kaiyou Adventure,11009/Pikachu-no-Kaiyou-Adventure,2006,Spring
190,Dai Mahou Touge Omake,1841/Dai-Mahou-Touge-Omake,2006,Spring
191,Bloody Night,11869/Bloody-Night,2006,Spring
192,Joshikousei Specials,6657/Joshikousei-Specials,2006,Spring
193,Within the Bloody Woods,11915/Within-the-Bloody-Woods,2006,Spring
194,Sin in the Rain,994/Sin-in-the-Rain,2006,Spring
195,Tank S.W.A.T. 01,2181/Tank-SWAT-01,2006,Spring
196,Memories Off 5,1071/Memories-Off-5,2006,Spring
197,Hana no Kage,8533/Hana-no-Kage,2006,Spring
198,Cream Lemon: New Generation,5167/Cream-Lemon-New-Generation,2006,Spring
199,Tide-Line Blue: Kyoudai,1001/TideLine-Blue-Kyoudai,2006,Spring
200,New Hal & Bons,3517/New-Hal--Bons,2006,Spring
201,Kochira Katsushikaku Kameari Kouenmae Hashutsujo Special: Hashire! Ryoutsu-shiki Chin Chin Densha - Omoide no Daijirou-gou,145779/Kochira-Katsushikaku-Kameari-Kouenmae-Hashutsujo-Special-Hashire-Ryoutsushiki-Chin-Chin-Densha--Omoide-no-Daijirougou,2006,Spring
202,NHK ni Youkoso!,1210/NHK-ni-Youkoso,2006,Summer
203,Zero no Tsukaima,1195/Zero-no-Tsukaima,2006,Summer
204,Bokura ga Ita,1222/Bokura-ga-Ita,2006,Summer
205,Hachimitsu to Clover II,1142/Hachimitsu-to-Clover-II,2006,Summer
206,Kemonozume,1454/Kemonozume,2006,Summer
207,Le Chevalier D'Eon,20461/Le-Chevalier-DEon,2006,Summer
208,Demashitaa! Powerpuff Girls Z,1221/Demashitaa-Powerpuff-Girls-Z,2006,Summer
209,Tonagura!,1218/Tonagura,2006,Summer
210,NIGHT HEAD GENESIS,1243/NIGHT-HEAD-GENESIS,2006,Summer
211,Binbou Shimai Monogatari,1214/Binbou-Shimai-Monogatari,2006,Summer
212,Mamotte! Lollipop,1509/Mamotte-Lollipop,2006,Summer
213,Innocent Venus,1230/Innocent-Venus,2006,Summer
214,Muteki Kanban Musume,1738/Muteki-Kanban-Musume,2006,Summer
215,Chocotto Sister,1219/Chocotto-Sister,2006,Summer
216,Coyote Ragtime Show,1194/Coyote-Ragtime-Show,2006,Summer
217,Tsuyokiss,1198/Tsuyokiss,2006,Summer
218,Kujibiki♥Unbalance (TV),1591/KujibikiUnbalance-TV,2006,Summer
219,Otogi-juushi Akazukin,607/Otogijuushi-Akazukin,2006,Summer
220,Koi Suru Tenshi Angelique: Kokoro no Mezameru Toki,1578/Koi-Suru-Tenshi-Angelique-Kokoro-no-Mezameru-Toki,2006,Summer
221,Naikaku Kenryoku Hanzai Kyousei Torishimarikan Zaizen Joutarou,1740/Naikaku-Kenryoku-Hanzai-Kyousei-Torishimarikan-Zaizen-Joutarou,2006,Summer
222,Patta Potta Monta,110453/Patta-Potta-Monta,2006,Summer
223,Wa Wa Wa Wappi-chan,107295/Wa-Wa-Wa-Wappichan,2006,Summer
224,Hanoka,1812/Hanoka,2006,Summer
225,Gyagu Manga Biyori 2,2518/Gyagu-Manga-Biyori-2,2006,Summer
226,Nanami-chan 3,4316/Nanamichan-3,2006,Summer
227,Gintama,918/Gintama,2006,Summer
228,Ouran Koukou Host Club,853/Ouran-Koukou-Host-Club,2006,Summer
229,Higurashi no Naku Koro ni,934/Higurashi-no-Naku-Koro-ni,2006,Summer
230,NANA,877/NANA,2006,Summer
231,xxxHOLiC,861/xxxHOLiC,2006,Summer
232,Air Gear,857/Air-Gear,2006,Summer
233,Utawarerumono,856/Utawarerumono,2006,Summer
234,Strawberry Panic,855/Strawberry-Panic,2006,Summer
235,School Rumble Ni Gakki,846/School-Rumble-Ni-Gakki,2006,Summer
236,ARIA The NATURAL,962/ARIA-The-NATURAL,2006,Summer
237,Witchblade,935/Witchblade,2006,Summer
238,Digimon Savers,859/Digimon-Savers,2006,Summer
239,Tsubasa Chronicle 2nd Season,969/Tsubasa-Chronicle-2nd-Season,2006,Summer
240,Saiunkoku Monogatari,957/Saiunkoku-Monogatari,2006,Summer
241,.hack//Roots,873/hackRoots,2006,Summer
242,KIBA,845/KIBA,2006,Summer
243,Inukami!,940/Inukami,2006,Summer
244,Simoun,879/Simoun,2006,Summer
245,Oban Star-Racers,1212/Oban-StarRacers,2006,Summer
246,Aa! Megami-sama!: Sorezore no Tsubasa,880/Aa-Megamisama-Sorezore-no-Tsubasa,2006,Summer
247,Zegapain,878/Zegapain,2006,Summer
248,Kirarin☆Revolution,1516/KirarinRevolution,2006,Summer
249,The Third: Aoi Hitomi no Shoujo,944/The-Third-Aoi-Hitomi-no-Shoujo,2006,Summer
250,Black Jack 21,2214/Black-Jack-21,2006,Summer
251,Glass no Kantai: La legende du vent de l'univers,20562/Glass-no-Kantai-La-legende-du-vent-de-lunivers,2006,Summer
252,Spider Riders: Oracle no Yuusha-tachi,2619/Spider-Riders-Oracle-no-Yuushatachi,2006,Summer
253,MUSASHI: GUN-dou,1200/MUSASHI-GUNdou,2006,Summer
254,Love Get Chu,1070/Love-Get-Chu,2006,Summer
255,Rockman.EXE Beast+,2713/RockmanEXE-Beast,2006,Summer
256,Fushigiboshi no☆Futagohime Gyu!,1886/Fushigiboshi-noFutagohime-Gyu,2006,Summer
257,Onegai My Melody: Kuru Kuru Shuffle!,4114/Onegai-My-Melody-Kuru-Kuru-Shuffle,2006,Summer
258,Tottoko Hamtaro Hai!,13679/Tottoko-Hamtaro-Hai,2006,Summer
259,Bakegyamon,2786/Bakegyamon,2006,Summer
260,Fighting Beauty Wulong Rebirth,968/Fighting-Beauty-Wulong-Rebirth,2006,Summer
261,Saru Getchu: On Air,1872/Saru-Getchu-On-Air,2006,Summer
262,Yoshimune,2024/Yoshimune,2006,Summer
263,Shinseiki Duel Masters Flash,10525/Shinseiki-Duel-Masters-Flash,2006,Summer
264,Akubi Girl,6077/Akubi-Girl,2006,Summer
265,Zenmai Zamurai,5821/Zenmai-Zamurai,2006,Summer
266,Miracle! Mimika,5374/Miracle-Mimika,2006,Summer
267,Shibawanko no Wa no Kokoro,1739/Shibawanko-no-Wa-no-Kokoro,2006,Summer
268,Poka Poka Mori no Rascal,17613/Poka-Poka-Mori-no-Rascal,2006,Summer
269,Tama & Friends: Sagase! Mahou no Punipuni Stone,131957/Tama--Friends-Sagase-Mahou-no-Punipuni-Stone,2006,Summer
270,Toki wo Kakeru Shoujo,2236/Toki-wo-Kakeru-Shoujo,2006,Summer
271,NARUTO: Dai Koufun! Mikazukijima no Animal Panic Dattebayo!,2144/NARUTO-Dai-Koufun-Mikazukijima-no-Animal-Panic-Dattebayo,2006,Summer
272,Ged Senki,1829/Ged-Senki,2006,Summer
273,Pocket Monsters Advanced Generation: Pokemon Ranger to Umi no Ouji Manaphy,2201/Pocket-Monsters-Advanced-Generation-Pokemon-Ranger-to-Umi-no-Ouji-Manaphy,2006,Summer
274,Brave Story,1681/Brave-Story,2006,Summer
275,Taneyamagahara no Yoru,2767/Taneyamagahara-no-Yoru,2006,Summer
