,Title,Link,Year,Season
2234,Baka to Test to Shoukanjuu Ni!,8516/Baka-to-Test-to-Shoukanjuu-Ni,2011,Summer
2235,Kamisama no Memochou,10568/Kamisama-no-Memochou,2011,Summer
2236,Natsume Yuujinchou San,10379/Natsume-Yuujinchou-San,2011,Summer
2237,THE IDOLM@STER,10278/THE-IDOLMSTER,2011,Summer
2238,Uta no☆Prince-sama♪ Maji Love 1000%,10321/Uta-noPrincesama-Maji-Love-1000,2011,Summer
2239,Dantalian no Shoka,8915/Dantalian-no-Shoka,2011,Summer
2240,Nurarihyon no Mago: Sennen Makyou,10049/Nurarihyon-no-Mago-Sennen-Makyou,2011,Summer
2241,Itsuka Tenma no Kuro Usagi,9750/Itsuka-Tenma-no-Kuro-Usagi,2011,Summer
2242,Ro-Kyu-Bu!,10572/RoKyuBu,2011,Summer
2243,R-15,10611/R15,2011,Summer
2244,Manyuu Hiken-chou,10465/Manyuu-Hikenchou,2011,Summer
2245,Kamisama Dolls,10372/Kamisama-Dolls,2011,Summer
2246,Sacred Seven,10156/Sacred-Seven,2011,Summer
2247,Ikoku Meiro no Croisée,9938/Ikoku-Meiro-no-Croise,2011,Summer
2248,Nekogami Yaoyorozu,9934/Nekogami-Yaoyorozu,2011,Summer
2249,Blade,6920/Blade,2011,Summer
2250,Kaitou Tenshi Twin Angel: Kyun Kyun☆Tokimeki Paradise!!,10217/Kaitou-Tenshi-Twin-Angel-Kyun-KyunTokimeki-Paradise,2011,Summer
2251,Morita-san wa Mukuchi.,10671/Moritasan-wa-Mukuchi,2011,Summer
2252,Nyanpire The Animation,10197/Nyanpire-The-Animation,2011,Summer
2253,Double-J,10838/DoubleJ,2011,Summer
2254,MonHun Nikki Girigiri Airuu Mura G,10802/MonHun-Nikki-Girigiri-Airuu-Mura-G,2011,Summer
2255,Inumarudashi,10847/Inumarudashi,2011,Summer
2256,Puu-Neko Shougekijou,11589/PuuNeko-Shougekijou,2011,Summer
2257,"Shuukan Shimakou: Sono Toki, Shimakou ga Ugoita!",11609/Shuukan-Shimakou-Sono-Toki-Shimakou-ga-Ugoita,2011,Summer
2258,Kayoe! Chuugaku,10797/Kayoe-Chuugaku,2011,Summer
2259,Ganbare!! Nattou-san,10995/Ganbare-Nattousan,2011,Summer
2260,Steins;Gate,9253/SteinsGate,2011,Summer
2261,Ao no Exorcist,9919/Ao-no-Exorcist,2011,Summer
2262,Nichijou,10165/Nichijou,2011,Summer
2263,Gintama',9969/Gintama,2011,Summer
2264,Hanasaku Iroha,9289/Hanasaku-Iroha,2011,Summer
2265,Gyakkyou Burai Kaiji: Hakairoku-hen,10271/Gyakkyou-Burai-Kaiji-Hakairokuhen,2011,Summer
2266,TIGER & BUNNY,9941/TIGER--BUNNY,2011,Summer
2267,SKET DANCE,9863/SKET-DANCE,2011,Summer
2268,Toriko,10033/Toriko,2011,Summer
2269,Inazuma Eleven GO,10507/Inazuma-Eleven-GO,2011,Summer
2270,Yu☆Gi☆Oh! ZEXAL,10015/YuGiOh-ZEXAL,2011,Summer
2271,Metal Fight Beyblade 4D,10370/Metal-Fight-Beyblade-4D,2011,Summer
2272,Heugemono,9996/Heugemono,2011,Summer
2273,Digimon Xros Wars: Aku no Death General to Nanatsu no Oukoku,10444/Digimon-Xros-Wars-Aku-no-Death-General-to-Nanatsu-no-Oukoku,2011,Summer
2274,Pretty Rhythm: Aurora Dream,10257/Pretty-Rhythm-Aurora-Dream,2011,Summer
2275,Danball Senki,7081/Danball-Senki,2011,Summer
2276,Honto ni Atta! Reibai Sensei,10338/Honto-ni-Atta-Reibai-Sensei,2011,Summer
2277,Jewelpet Sunshine,10359/Jewelpet-Sunshine,2011,Summer
2278,Duel Masters Victory,10524/Duel-Masters-Victory,2011,Summer
2279,Genki!! Ekoda-chan,10540/Genki-Ekodachan,2011,Summer
2280,Happy Kappy,10347/Happy-Kappy,2011,Summer
2281,Hime Chen! Otogi Chikku Idol Lilpri (2011),126885/Hime-Chen-Otogi-Chikku-Idol-Lilpri-2011,2011,Summer
2282,47 Todoufuken,106507/47-Todoufuken,2011,Summer
2283,Hato no Oyomesan,10539/Hato-no-Oyomesan,2011,Summer
2284,Ohayou Ninja-tai Gatchaman,121714/Ohayou-Ninjatai-Gatchaman,2011,Summer
2285,Zoobles!,13167/Zoobles,2011,Summer
2286,Penguin no Mondai DX?,10856/Penguin-no-Mondai-DX,2011,Summer
2287,Shiodome Cable TV,10633/Shiodome-Cable-TV,2011,Summer
2288,Sockies: Frontier Quest,8143/Sockies-Frontier-Quest,2011,Summer
2289,Coquelicot-zaka kara,10029/Coquelicotzaka-kara,2011,Summer
2290,NARUTO: Blood Prison,10589/NARUTO-Blood-Prison,2011,Summer
2291,Hagane no Renkinjutsushi: Milos no Seinaru Hoshi,9135/Hagane-no-Renkinjutsushi-Milos-no-Seinaru-Hoshi,2011,Summer
2292,Sora no Otoshimono: Tokeijikake no Angeloid,9790/Sora-no-Otoshimono-Tokeijikake-no-Angeloid,2011,Summer
2293,NARUTO: Honoo no Chuunin Shiken! Naruto vs Konohamaru!!,10686/NARUTO-Honoo-no-Chuunin-Shiken-Naruto-vs-Konohamaru,2011,Summer
2294,Momo e no Tegami,10389/Momo-e-no-Tegami,2011,Summer
2295,Towa no Quon 1: Utakata no Kaben,10294/Towa-no-Quon-1-Utakata-no-Kaben,2011,Summer
2296,Pocket Monsters Best Wishes!: Victini to Kuroki Eiyuu Zekrom,9917/Pocket-Monsters-Best-Wishes-Victini-to-Kuroki-Eiyuu-Zekrom,2011,Summer
2297,Pocket Monsters Best Wishes!: Victini to Shiroki Eiyuu Reshiram,10740/Pocket-Monsters-Best-Wishes-Victini-to-Shiroki-Eiyuu-Reshiram,2011,Summer
2298,Towa no Quon 2: Konton no Ranbu,10713/Towa-no-Quon-2-Konton-no-Ranbu,2011,Summer
2299,Hayate no Gotoku!: HEAVEN IS A PLACE ON EARTH,9958/Hayate-no-Gotoku-HEAVEN-IS-A-PLACE-ON-EARTH,2011,Summer
2300,Towa no Quon 3: Mugen no Renza,10714/Towa-no-Quon-3-Mugen-no-Renza,2011,Summer
2301,Heart no Kuni no Alice: Wonderful Wonder World,4713/Heart-no-Kuni-no-Alice-Wonderful-Wonder-World,2011,Summer
2302,Mahou Sensei Negima! ANIME FINAL,7135/Mahou-Sensei-Negima-ANIME-FINAL,2011,Summer
2303,Tekken: Blood Vengeance,10702/Tekken-Blood-Vengeance,2011,Summer
2304,Tibet Inu Monogatari: Kiniro no Douji,10629/Tibet-Inu-Monogatari-Kiniro-no-Douji,2011,Summer
2305,APPLESEED XIII Remix Movie: Yuigon,10689/APPLESEED-XIII-Remix-Movie-Yuigon,2011,Summer
2306,Takara-sagashi,12267/Takarasagashi,2011,Summer
2307,Waza no Tabibito,10904/Waza-no-Tabibito,2011,Summer
2308,Sore Ike! Anpanman: Sukue! Kokorin to Kiseki no Hoshi,10684/Sore-Ike-Anpanman-Sukue-Kokorin-to-Kiseki-no-Hoshi,2011,Summer
2309,Sore Ike! Anpanman: Utatte Teasobi! Anpanman to Mori no Takara,10685/Sore-Ike-Anpanman-Utatte-Teasobi-Anpanman-to-Mori-no-Takara,2011,Summer
2310,Carnival Phantasm,10012/Carnival-Phantasm,2011,Summer
2311,Kore wa Zombie desu ka? OVA,10209/Kore-wa-Zombie-desu-ka-OVA,2011,Summer
2312,Kami nomi zo Shiru Sekai: 4-nin to Idol,10805/Kami-nomi-zo-Shiru-Sekai-4nin-to-Idol,2011,Summer
2313,HELLSING: THE DAWN,11077/HELLSING-THE-DAWN,2011,Summer
2314,Higurashi no Naku Koro ni Kira,10491/Higurashi-no-Naku-Koro-ni-Kira,2011,Summer
2315,Ao no Exorcist: Ura Eku,10647/Ao-no-Exorcist-Ura-Eku,2011,Summer
2316,Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Towa ni,11359/Dragon-Ball-Kai-Mirai-ni-Heiwa-wo-Goku-no-Tamashii-yo-Towa-ni,2011,Summer
2317,Amagami SS OVA,9117/Amagami-SS-OVA,2011,Summer
2318,Asobi ni Iku yo! Asobi ni Oide,9618/Asobi-ni-Iku-yo-Asobi-ni-Oide,2011,Summer
2319,Baby Princess 3D Paradise 0 [Love],10196/Baby-Princess-3D-Paradise-0-Love,2011,Summer
2320,Beelzebub: Hashire! Beel-bo Keiji!!,10479/Beelzebub-Hashire-Beelbo-Keiji,2011,Summer
2321,Hagane no Renkinjutsushi: Milos no Seinaru Hoshi Tokubetsu Eizou,10842/Hagane-no-Renkinjutsushi-Milos-no-Seinaru-Hoshi-Tokubetsu-Eizou,2011,Summer
2322,Hakuouki Sekkaroku,10350/Hakuouki-Sekkaroku,2011,Summer
2323,Hourou Musuko Specials,10935/Hourou-Musuko-Specials,2011,Summer
2324,Onii-chan no Koto nanka Zenzen Suki Janain Dakara ne!! Special,10219/Oniichan-no-Koto-nanka-Zenzen-Suki-Janain-Dakara-ne-Special,2011,Summer
2325,Seikon no Qwaser II Picture Drama,10920/Seikon-no-Qwaser-II-Picture-Drama,2011,Summer
2326,Oretachi ni Tsubasa wa Nai: Hadairo Ritsu Kyuuwari Zou!?,10547/Oretachi-ni-Tsubasa-wa-Nai-Hadairo-Ritsu-Kyuuwari-Zou,2011,Summer
2327,Tantei Opera Milky Holmes: Summer Special,10923/Tantei-Opera-Milky-Holmes-Summer-Special,2011,Summer
2328,Appleseed XIII,9737/Appleseed-XIII,2011,Summer
2329,Tennis no Ouji-sama OVA ANOTHER STORY II: Ano Toki no Bokura,10573/Tennis-no-Oujisama-OVA-ANOTHER-STORY-II-Ano-Toki-no-Bokura,2011,Summer
2330,Ikoku Meiro no Croisée Special,10804/Ikoku-Meiro-no-Croise-Special,2011,Summer
2331,Copihan,10801/Copihan,2011,Summer
2332,Maria†Holic Alive Special,10945/MariaHolic-Alive-Special,2011,Summer
2333,Pikachu no Summer Bridge Story,11853/Pikachu-no-Summer-Bridge-Story,2011,Summer
2334,30-sai no Hoken Taiiku Specials,12131/30sai-no-Hoken-Taiiku-Specials,2011,Summer
2335,Softenni Specials,10796/Softenni-Specials,2011,Summer
2336,Koukaku Kidoutai: Stand Alone Complex - Solid State Society 3D - Tachikoma no Hibi,10950/Koukaku-Kidoutai-Stand-Alone-Complex--Solid-State-Society-3D--Tachikoma-no-Hibi,2011,Summer
2337,Tennis no Ouji-sama OVA ANOTHER STORY II: Ano Toki no Bokura OVA Bonus,13073/Tennis-no-Oujisama-OVA-ANOTHER-STORY-II-Ano-Toki-no-Bokura-OVA-Bonus,2011,Summer
2338,Yurumates ha?,11699/Yurumates-ha,2011,Summer
2339,Pretty Rhythm Shougekijou,11911/Pretty-Rhythm-Shougekijou,2011,Summer
2340,Toei Robot Girls,10954/Toei-Robot-Girls,2011,Summer
2341,Sorette Dakara ne!,10859/Sorette-Dakara-ne,2011,Summer
2342,VitaminX Addiction,10595/VitaminX-Addiction,2011,Summer
2343,Neon The Animation,17697/Neon-The-Animation,2011,Summer
2344,Install Pilot,11043/Install-Pilot,2011,Summer
2345,Kakko Kawaii Sengen! (ONA),10908/Kakko-Kawaii-Sengen-ONA,2011,Summer
2346,Wish Me Mell,11789/Wish-Me-Mell,2011,Summer
2347,Himitsukessha Taka no Tsume THE PLANETARIUM: Burabura! Black Hole no Nazo,13499/Himitsukessha-Taka-no-Tsume-THE-PLANETARIUM-Burabura-Black-Hole-no-Nazo,2011,Summer
2348,HUNTER×HUNTER (2011),11061/HUNTERHUNTER-2011,2011,Fall
2349,Mirai Nikki,10620/Mirai-Nikki,2011,Fall
2350,Fate/Zero,10087/FateZero,2011,Fall
2351,Guilty Crown,10793/Guilty-Crown,2011,Fall
2352,Boku wa Tomodachi ga Sukunai,10719/Boku-wa-Tomodachi-ga-Sukunai,2011,Fall
2353,Chihayafuru,10800/Chihayafuru,2011,Fall
2354,Ben-To,10396/BenTo,2011,Fall
2355,Bakuman. 2,10030/Bakuman-2,2011,Fall
2356,Maji de Watashi ni Koi Shinasai!,10213/Maji-de-Watashi-ni-Koi-Shinasai,2011,Fall
2357,Maken-Ki!,9936/MakenKi,2011,Fall
2358,Working'!!,10521/Working,2011,Fall
2359,Persona 4 the Animation,10588/Persona-4-the-Animation,2011,Fall
2360,Shakugan no Shana III (Final),6773/Shakugan-no-Shana-III-Final,2011,Fall
2361,Kimi to Boku.,10460/Kimi-to-Boku,2011,Fall
2362,Kyoukaisenjou no Horizon,10456/Kyoukaisenjou-no-Horizon,2011,Fall
2363,C³,10578/C,2011,Fall
2364,UN-GO,10798/UNGO,2011,Fall
2365,Mashiroiro Symphony: The Color of Lovers,10397/Mashiroiro-Symphony-The-Color-of-Lovers,2011,Fall
2366,Shinryaku!? Ika Musume,10378/Shinryaku-Ika-Musume,2011,Fall
2367,Sekaiichi Hatsukoi 2,11123/Sekaiichi-Hatsukoi-2,2011,Fall
2368,Phi Brain: Kami no Puzzle,9981/Phi-Brain-Kami-no-Puzzle,2011,Fall
2369,Tamayura: Hitotose,10232/Tamayura-Hitotose,2011,Fall
2370,Last Exile: Ginyoku no Fam,10336/Last-Exile-Ginyoku-no-Fam,2011,Fall
2371,Kidou Senshi Gundam AGE,10808/Kidou-Senshi-Gundam-AGE,2011,Fall
2372,Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi,11385/Digimon-Xros-Wars-Toki-wo-Kakeru-Shounen-Huntertachi,2011,Fall
2373,Battle Spirits: Heroes,11017/Battle-Spirits-Heroes,2011,Fall
2374,Ad Lib Anime Kenkyuujo,11541/Ad-Lib-Anime-Kenkyuujo,2011,Fall
2375,Chibi☆Devi!,11457/ChibiDevi,2011,Fall
2376,Morita-san wa Mukuchi. 2,11615/Moritasan-wa-Mukuchi-2,2011,Fall
2377,gdgd Fairies,11809/gdgd-Fairies,2011,Fall
2378,High Score,10958/High-Score,2011,Fall
2379,Cross Fight B-Daman,11177/Cross-Fight-BDaman,2011,Fall
2380,Sengoku☆Paradise Kiwami,11547/SengokuParadise-Kiwami,2011,Fall
2381,Fujilog 2nd Season,10997/Fujilog-2nd-Season,2011,Fall
2382,Nippon Omoshiro Mukashi Banashi,12181/Nippon-Omoshiro-Mukashi-Banashi,2011,Fall
2383,Tobidase! Dokan-kun,121075/Tobidase-Dokankun,2011,Fall
2384,Mawaru Penguindrum,10721/Mawaru-Penguindrum,2011,Fall
2385,THE IDOLM@STER,10278/THE-IDOLMSTER,2011,Fall
2386,Nurarihyon no Mago: Sennen Makyou,10049/Nurarihyon-no-Mago-Sennen-Makyou,2011,Fall
2387,Kayoe! Chuugaku,10797/Kayoe-Chuugaku,2011,Fall
2388,Hotarubi no Mori e,10408/Hotarubi-no-Mori-e,2011,Fall
2389,K-ON! Movie,9617/KON-Movie,2011,Fall
2390,Toaru Hikuushi e no Tsuioku,9000/Toaru-Hikuushi-e-no-Tsuioku,2011,Fall
2391,Towa no Quon 6: Towa no Quon,10717/Towa-no-Quon-6-Towa-no-Quon,2011,Fall
2392,Mardock Scramble: The Second Combustion,10624/Mardock-Scramble-The-Second-Combustion,2011,Fall
2393,UN-GO episode:0 Inga-ron,11531/UNGO-episode0-Ingaron,2011,Fall
2394,Towa no Quon 4: Guren no Shoushin,10715/Towa-no-Quon-4-Guren-no-Shoushin,2011,Fall
2395,Towa no Quon 5: Souzetsu no Raifuku,10716/Towa-no-Quon-5-Souzetsu-no-Raifuku,2011,Fall
2396,ONE PIECE 3D: Gekisou! Trap Coaster,12001/ONE-PIECE-3D-Gekisou-Trap-Coaster,2011,Fall
2397,Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon,10999/Inazuma-Eleven-Go-Kyuukyoku-no-Kizuna-Gryphon,2011,Fall
2398,Tennis no Ouji-sama: Eikokushiki Teikyuu Shiro Kessen!,10731/Tennis-no-Oujisama-Eikokushiki-Teikyuu-Shiro-Kessen,2011,Fall
2399,Suite Precure♪: Torimodose! Kokoro ga Tsunagu Kiseki no Melody♪,10821/Suite-Precure-Torimodose-Kokoro-ga-Tsunagu-Kiseki-no-Melody,2011,Fall
2400,663114,13971/663114,2011,Fall
2401,Scryed Alteration I: Tao,10592/Scryed-Alteration-I-Tao,2011,Fall
2402,Sakura no Ondo,15393/Sakura-no-Ondo,2011,Fall
2403,Precure All-Stars DX the Dance Live: Miracle Dance Stage e Youkoso,11569/Precure-AllStars-DX-the-Dance-Live-Miracle-Dance-Stage-e-Youkoso,2011,Fall
2404,APPLESEED XIII Remix Movie: Yogen,10693/APPLESEED-XIII-Remix-Movie-Yogen,2011,Fall
2405,Friends: Mononoke Shima no Naki,10115/Friends-Mononoke-Shima-no-Naki,2011,Fall
2406,Hal no Fue,11673/Hal-no-Fue,2011,Fall
2407,Fate/Prototype,12565/FatePrototype,2011,Fall
2408,Boku wa Tomodachi ga Sukunai Episode 0: Yami Nabe wa Bishoujo ga Zannen na Nioi,10897/Boku-wa-Tomodachi-ga-Sukunai-Episode-0-Yami-Nabe-wa-Bishoujo-ga-Zannen-na-Nioi,2011,Fall
2409,Dragon Ball: Episode of Bardock,12231/Dragon-Ball-Episode-of-Bardock,2011,Fall
2410,Ao no Exorcist: Kuro no Iede,11266/Ao-no-Exorcist-Kuro-no-Iede,2011,Fall
2411,Deadman Wonderland: Akai Knife Tsukai,10418/Deadman-Wonderland-Akai-Knife-Tsukai,2011,Fall
2412,Usagi Drop Specials,11113/Usagi-Drop-Specials,2011,Fall
2413,Carnival Phantasm EX Season,12187/Carnival-Phantasm-EX-Season,2011,Fall
2414,Hidan no Aria Special,10604/Hidan-no-Aria-Special,2011,Fall
2415,Astarotte no Omocha! EX,10582/Astarotte-no-Omocha-EX,2011,Fall
2416,Yuru Yuri: Doushite☆Tomaranai☆Tokimeki☆Doki Doki☆Paradox☆Eternal,12665/Yuru-Yuri-DoushiteTomaranaiTokimekiDoki-DokiParadoxEternal,2011,Fall
2417,Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou,10834/Baka-to-Test-to-Shoukanjuu-Spinout-Sore-ga-Bokura-no-Nichijou,2011,Fall
2418,"Kono Danshi, Uchuujin to Tatakaemasu.",11355/Kono-Danshi-Uchuujin-to-Tatakaemasu,2011,Fall
2419,Hidamari Sketch x SP,11237/Hidamari-Sketch-x-SP,2011,Fall
2420,Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi,21467/Baka-to-Test-to-Shoukanjuu-Ni-Mahou-Hideyoshi-Hideyoshi,2011,Fall
2421,Tales of Symphonia THE ANIMATION: Sekai Tougou-hen,8995/Tales-of-Symphonia-THE-ANIMATION-Sekai-Tougouhen,2011,Fall
2422,Eiyuu Densetsu: Sora no Kiseki THE ANIMATION,10260/Eiyuu-Densetsu-Sora-no-Kiseki-THE-ANIMATION,2011,Fall
2423,Ikkitousen: Shuugaku Toushi Keppuuroku,11255/Ikkitousen-Shuugaku-Toushi-Keppuuroku,2011,Fall
2424,Queen's Blade OVA,10924/Queens-Blade-OVA,2011,Fall
2425,Manyuu Hikenchou Specials,10845/Manyuu-Hikenchou-Specials,2011,Fall
2426,Busou Shinki: Moon Angel,11103/Busou-Shinki-Moon-Angel,2011,Fall
2427,Queen's Blade OVA Specials,12065/Queens-Blade-OVA-Specials,2011,Fall
2428,Manyuu Hikenchou Picture Drama,12239/Manyuu-Hikenchou-Picture-Drama,2011,Fall
2429,Itsuka Tenma no Kuro Usagi Picture Drama,12579/Itsuka-Tenma-no-Kuro-Usagi-Picture-Drama,2011,Fall
2430,UN-GO: Inga Nikki,12411/UNGO-Inga-Nikki,2011,Fall
2431,Tales of Symphonia THE ANIMATION: Sekai Tougou-hen Specials,12709/Tales-of-Symphonia-THE-ANIMATION-Sekai-Tougouhen-Specials,2011,Fall
2432,Kamisama Dolls Specials,11715/Kamisama-Dolls-Specials,2011,Fall
2433,Ikoku Meiro no Croisée: Yune & Alice,10832/Ikoku-Meiro-no-Croise-Yune--Alice,2011,Fall
2434,Rio: Rainbow Gate Special,10301/Rio-Rainbow-Gate-Special,2011,Fall
2435,Ikoku Meiro no Croisée Picture Drama,10905/Ikoku-Meiro-no-Croise-Picture-Drama,2011,Fall
2436,Pretty Rhythm Shougekijou,11911/Pretty-Rhythm-Shougekijou,2011,Fall
2437,Black Jack FINAL,108339/Black-Jack-FINAL,2011,Fall
2438,Goulart Knights: Evoked the Beginning White,13993/Goulart-Knights-Evoked-the-Beginning-White,2011,Fall
2439,Nekogami Yaoyorozu Specials,13681/Nekogami-Yaoyorozu-Specials,2011,Fall
2440,Kiss Dum Special,11505/Kiss-Dum-Special,2011,Fall
2441,AKB48 Stage Fighter,97963/AKB48-Stage-Fighter,2011,Fall
2442,Peeping Life: The Perfect Extension,16377/Peeping-Life-The-Perfect-Extension,2011,Fall
2443,Chi-Sui Maru Specials,11731/ChiSui-Maru-Specials,2011,Fall
2444,Arigatou Kumanofu,114426/Arigatou-Kumanofu,2011,Fall
2445,Houkago no Thesaurus,118039/Houkago-no-Thesaurus,2011,Fall
2446,Another,11111/Another,2012,Winter
2447,High School DxD,11617/High-School-DxD,2012,Winter
2448,Nisemonogatari,11597/Nisemonogatari,2012,Winter
2449,Danshi Koukousei no Nichijou,11843/Danshi-Koukousei-no-Nichijou,2012,Winter
2450,Inu x Boku SS,11013/Inu-x-Boku-SS,2012,Winter
2451,Ano Natsu de Matteru,11433/Ano-Natsu-de-Matteru,2012,Winter
2452,Zero no Tsukaima F,11319/Zero-no-Tsukaima-F,2012,Winter
2453,Black★Rock Shooter (TV),11285/BlackRock-Shooter-TV,2012,Winter
2454,Natsume Yuujinchou Shi,11665/Natsume-Yuujinchou-Shi,2012,Winter
2455,Senki Zesshou Symphogear,11751/Senki-Zesshou-Symphogear,2012,Winter
2456,Papa no Iukoto wo Kikinasai!,11179/Papa-no-Iukoto-wo-Kikinasai,2012,Winter
2457,Amagami SS+ Plus,11235/Amagami-SS-Plus,2012,Winter
2458,Kill Me Baby,11079/Kill-Me-Baby,2012,Winter
2459,Brave 10,11241/Brave-10,2012,Winter
2460,Aquarion EVOL,10447/Aquarion-EVOL,2012,Winter
2461,Rinne no Lagrange,11227/Rinne-no-Lagrange,2012,Winter
2462,Mouretsu Pirates,8917/Mouretsu-Pirates,2012,Winter
2463,Smile Precure!,12191/Smile-Precure,2012,Winter
2464,Area no Kishi,11697/Area-no-Kishi,2012,Winter
2465,Shin Tennis no Ouji-sama,11371/Shin-Tennis-no-Oujisama,2012,Winter
2466,Thermae Romae,12321/Thermae-Romae,2012,Winter
2467,Tantei Opera Milky Holmes Dai 2 Maku,11341/Tantei-Opera-Milky-Holmes-Dai-2-Maku,2012,Winter
2468,Danball Senki W,12651/Danball-Senki-W,2012,Winter
2469,Recorder to Randoseru Do♪,11491/Recorder-to-Randoseru-Do,2012,Winter
2470,Gokujo.,11769/Gokujo,2012,Winter
2471,Poyopoyo Kansatsu Nikki,12021/Poyopoyo-Kansatsu-Nikki,2012,Winter
2472,Usavich V,16347/Usavich-V,2012,Winter
2473,Himitsukessha Taka no Tsume Gaiden: Mukashi no Yoshida-kun,13207/Himitsukessha-Taka-no-Tsume-Gaiden-Mukashi-no-Yoshidakun,2012,Winter
2474,HUNTER×HUNTER (2011),11061/HUNTERHUNTER-2011,2012,Winter
2475,Mirai Nikki,10620/Mirai-Nikki,2012,Winter
2476,Guilty Crown,10793/Guilty-Crown,2012,Winter
2477,Chihayafuru,10800/Chihayafuru,2012,Winter
2478,Bakuman. 2,10030/Bakuman-2,2012,Winter
2479,Persona 4 the Animation,10588/Persona-4-the-Animation,2012,Winter
2480,Shakugan no Shana III (Final),6773/Shakugan-no-Shana-III-Final,2012,Winter
2481,Phi Brain: Kami no Puzzle,9981/Phi-Brain-Kami-no-Puzzle,2012,Winter
2482,Last Exile: Ginyoku no Fam,10336/Last-Exile-Ginyoku-no-Fam,2012,Winter
2483,Kidou Senshi Gundam AGE,10808/Kidou-Senshi-Gundam-AGE,2012,Winter
2484,Digimon Xros Wars: Toki wo Kakeru Shounen Hunter-tachi,11385/Digimon-Xros-Wars-Toki-wo-Kakeru-Shounen-Huntertachi,2012,Winter
2485,Chibi☆Devi!,11457/ChibiDevi,2012,Winter
2486,Cross Fight B-Daman,11177/Cross-Fight-BDaman,2012,Winter
2487,Sengoku☆Paradise Kiwami,11547/SengokuParadise-Kiwami,2012,Winter
2488,Battle Spirits: Heroes,11017/Battle-Spirits-Heroes,2012,Winter
2489,Ad Lib Anime Kenkyuujo,11541/Ad-Lib-Anime-Kenkyuujo,2012,Winter
2490,Berserk: Ougon Jidai-hen I - Haou no Tamago,10218/Berserk-Ougon-Jidaihen-I--Haou-no-Tamago,2012,Winter
2491,Wasurenagumo,13171/Wasurenagumo,2012,Winter
2492,.hack//The Movie: Sekai no Mukou ni,11375/hackThe-Movie-Sekai-no-Mukou-ni,2012,Winter
2493,Buta,13169/Buta,2012,Winter
2494,Magic Tree House,10690/Magic-Tree-House,2012,Winter
2495,Dragon Age: Blood Mage no Seisen,11705/Dragon-Age-Blood-Mage-no-Seisen,2012,Winter
2496,Sacred Seven: Shirogane no Tsubasa,11635/Sacred-Seven-Shirogane-no-Tsubasa,2012,Winter
2497,Steins;Gate: Oukoubakko no Poriomania,10863/SteinsGate-Oukoubakko-no-Poriomania,2012,Winter
2498,Denpa Onna to Seishun Otoko: Mayonaka no Taiyou,10638/Denpa-Onna-to-Seishun-Otoko-Mayonaka-no-Taiyou,2012,Winter
2499,Gyo,10417/Gyo,2012,Winter
2500,Girls und Panzer Specials,15811/Girls-und-Panzer-Specials,2012,Winter
2501,Mirai Nikki: Ura Mirai Nikki,12503/Mirai-Nikki-Ura-Mirai-Nikki,2012,Winter
2502,ONE PIECE: Episode of Luffy - Hand Island no Bouken,16239/ONE-PIECE-Episode-of-Luffy--Hand-Island-no-Bouken,2012,Winter
2503,Sukitte Ii na yo. Specials,17409/Sukitte-Ii-na-yo-Specials,2012,Winter
2504,Onii-chan Dakedo Ai Sae Areba Kankeinai yo ne! Specials,15881/Oniichan-Dakedo-Ai-Sae-Areba-Kankeinai-yo-ne-Specials,2012,Winter
2505,ONE PIECE FILM: Z - GLORIOUS ISLAND,16468/ONE-PIECE-FILM-Z--GLORIOUS-ISLAND,2012,Winter
2506,Sakasama no Patema: Beginning of the Day,13429/Sakasama-no-Patema-Beginning-of-the-Day,2012,Winter
2507,Major: World Series,11917/Major-World-Series,2012,Winter
2508,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.: Menma e no Tegami,107342/Ano-Hi-Mita-Hana-no-Namae-wo-Bokutachi-wa-Mada-Shiranai-Menma-e-no-Tegami,2012,Winter
2509,Sayonara Zetsubou Sensei: Nyankin no Kirisuto,10469/Sayonara-Zetsubou-Sensei-Nyankin-no-Kirisuto,2012,Winter
2510,A-Channel: A-Channel+smile,11339/AChannel-AChannelsmile,2012,Winter
2511,Hiyokoi (2012),15895/Hiyokoi-2012,2012,Winter
2512,Ai no Kusabi (2012),5784/Ai-no-Kusabi-2012,2012,Winter
2513,Yuri Seijin Naoko-san (2012),12437/Yuri-Seijin-Naokosan-2012,2012,Winter
2514,Guilty Crown: 4-koma Gekijou,13561/Guilty-Crown-4koma-Gekijou,2012,Winter
2515,Inferno Cop: Fact Files,17843/Inferno-Cop-Fact-Files,2012,Winter
2516,Shakugan no Shana III (Final) Specials,12823/Shakugan-no-Shana-III-Final-Specials,2012,Winter
2517,Finder no Hyouteki,9761/Finder-no-Hyouteki,2012,Winter
2518,Mashiroiro Symphony: Airi ga Anata no Kanojo ni!?,14049/Mashiroiro-Symphony-Airi-ga-Anata-no-Kanojo-ni,2012,Winter
2519,Mashiroiro Symphony: The Color of Lovers Picture Drama,13757/Mashiroiro-Symphony-The-Color-of-Lovers-Picture-Drama,2012,Winter
