Unnamed: 0,Title,Link,Year,Season,Format,Episodes,EpisodeDuration,Status,Popularity,MeanScore,Favorites,Studios,Source,Genre,Completed,Planning,Current,Dropped
45,45,CLUSTER EDGE,69/CLUSTER-EDGE,2006,Winter,TV,25,24 mins,Finished,1335,55%,3,Sunrise,Original,"Action,Fantasy,Sci-Fi",738,384,106,55
46,46,Gaiking: Legend of Daiku-Maryu,1845/Gaiking-Legend-of-DaikuMaryu,2006,Winter,TV,39,25 mins,Finished,1137,67%,10,NaN,NaN,"Action,Mecha,Sci-Fi",611,347,65,58
47,47,Fighting Beauty Wulong,913/Fighting-Beauty-Wulong,2006,Winter,TV,25,25 mins,Finished,886,53%,6,TMS Entertainment,Manga,"Action,Ecchi",501,228,60,49
48,48,Bouken Ou Beet Excellion,1123/Bouken-Ou-Beet-Excellion,2006,Winter,TV,25,24 mins,Finished,882,61%,3,NaN,Manga,"Adventure,Fantasy,Supernatural",511,270,38,35
49,49,Gunparade Orchestra,858/Gunparade-Orchestra,2006,Winter,TV,24,25 mins,Finished,883,52%,1,Brain's Base,Video Game,"Drama,Mecha,Romance,Sci-Fi,Slice of Life",484,256,58,51
50,50,D.I.C.E.,2285/DICE,2006,Winter,TV,40,25 mins,Finished,629,56%,3,Xebec,NaN,"Action,Adventure,Mecha,Sci-Fi",365,170,56,21
51,51,Animal Yokochou,280/Animal-Yokochou,2006,Winter,TV,51,23 mins,Finished,621,66%,3,Studio Gallop,Manga,"Adventure,Comedy,Fantasy",257,166,73,72
52,52,Kotencotenco,8595/Kotencotenco,2006,Winter,TV,52,25 mins,Finished,152,53%,NaN,NaN,NaN,"Adventure,Comedy,Fantasy",54,48,27,18
53,53,Giniro no Kami no Agito,1140/Giniro-no-Kami-no-Agito,2006,Winter,Movie,1,NaN,Finished,10620,65%,76,GONZO,Original,"Adventure,Drama,Fantasy,Romance,Sci-Fi",5745,4523,189,87
54,54,Hoshi wo Katta Hi,6463/Hoshi-wo-Katta-Hi,2006,Winter,,,,,,,,,,,,,,
55,55,Mizugumo Monmon,4306/Mizugumo-Monmon,2006,Winter,Movie,1,NaN,Finished,705,61%,3,NaN,Original,"Fantasy,Romance",346,322,18,12
56,56,Yado-sagashi,3570/Yadosagashi,2006,Winter,Movie,1,NaN,Finished,572,64%,2,NaN,Original,"Adventure,Fantasy,Slice of Life",388,133,29,12
57,57,Ski Jumping Pairs: Road to Torino 2006,10627/Ski-Jumping-Pairs-Road-to-Torino-2006,2006,Winter,Movie,1,NaN,Finished,165,41%,NaN,NaN,NaN,"Comedy,Sports",114,36,10,3
58,58,Norabbits' Minutes,8205/Norabbits-Minutes,2006,Winter,Movie,5,NaN,Finished,61,53%,NaN,NaN,NaN,"Comedy,Fantasy",26,19,8,5
59,59,Chun Tian Hua Hua Tong Xuehui,9820/Chun-Tian-Hua-Hua-Tong-Xuehui,2006,Winter,Movie (Chinese),1,NaN,Finished,36,44%,NaN,NaN,Original,Comedy,18,10,4,2
60,60,HELLSING OVA,777/HELLSING-OVA,2006,Winter,OVA,10,50 mins,Finished,110261,80%,4334,MADHOUSE,Manga,"Action,Horror,Supernatural",61664,34448,5737,5387
61,61,NARUTO: Narutimate Hero 3: Tsui ni Gekitotsu! Jounin tai Genin!! Musabetsu Dairansen Taikai Kaisai!!,1074/NARUTO-Narutimate-Hero-3-Tsui-ni-Gekitotsu-Jounin-tai-Genin-Musabetsu-Dairansen-Taikai-Kaisai,2006,Winter,OVA,1,27 mins,Finished,10839,63%,80,NaN,Video Game,"Adventure,Comedy",8871,1709,130,70
62,62,Genshiken OVA,1813/Genshiken-OVA,2006,Winter,OVA,3,24 mins,Finished,7835,74%,29,Ajiado,Manga,"Comedy,Slice of Life",6016,1613,84,80
63,63,Rozen Maiden: Ouvertüre,1719/Rozen-Maiden-Ouvertre,2006,Winter,Special,2,24 mins,Finished,6980,73%,45,Nomad,Manga,"Action,Comedy,Drama",5491,1248,118,70
64,64,Shakugan no Shana Special: Koi to Onsen no Kougai Gakushuu!,1531/Shakugan-no-Shana-Special-Koi-to-Onsen-no-Kougai-Gakushuu,2006,Winter,Special,1,23 mins,Finished,5309,67%,19,NaN,NaN,"Comedy,Ecchi,Fantasy,Romance,Supernatural",3846,1317,63,49
65,65,Shakugan no Shana Specials,1066/Shakugan-no-Shana-Specials,2006,Winter,Special,4,6 mins,Finished,5054,66%,11,NaN,NaN,Comedy,3851,995,78,70
66,66,Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven,2448/Koukaku-Kidoutai-Stand-Alone-Complex-2nd-GIG--Individual-Eleven,2006,Winter,OVA,1,"2 hours, 41 mins",Finished,4059,76%,28,NaN,NaN,"Action,Mecha,Sci-Fi",2233,1652,68,60
67,67,Maria-sama ga Miteru 3rd Season OVA,1729/Mariasama-ga-Miteru-3rd-Season-OVA,2006,Winter,OVA,5,50 mins,Finished,3336,76%,33,Studio DEEN,Light Novel,"Drama,Slice of Life",1906,1253,77,62
68,68,Meitantei Conan: Kieta Daiya wo Oe! Conan & Heiji vs Kid!,1368/Meitantei-Conan-Kieta-Daiya-wo-Oe-Conan--Heiji-vs-Kid,2006,Winter,OVA,1,23 mins,Finished,2651,70%,10,Tokyo Movie,Manga,Mystery,2093,482,30,26
69,69,Shakugan no Shana: Naze Nani Shana,6330/Shakugan-no-Shana-Naze-Nani-Shana,2006,Winter,Special,8,4 mins,Finished,2150,60%,6,NaN,NaN,"Comedy,Fantasy,Supernatural",1246,796,47,38
70,70,Tsukuyomi: Moon Phase Special,2580/Tsukuyomi-Moon-Phase-Special,2006,Winter,Special,1,23 mins,Finished,1896,61%,3,Shaft,Manga,"Comedy,Supernatural",1379,458,31,14
71,71,Winter Garden,1718/Winter-Garden,2006,Winter,Special,2,23 mins,Finished,1467,60%,7,NaN,NaN,"Drama,Romance,Slice of Life",850,524,36,31
72,72,Maria-sama ga Miteru 3rd Specials,2954/Mariasama-ga-Miteru-3rd-Specials,2006,Winter,Special,5,2 mins,Finished,1265,69%,5,NaN,Light Novel,Comedy,837,375,21,18
73,73,Koukaku Kidoutai: Stand Alone Complex 2nd GIG - Individual Eleven - Tachikoma no Hibi,10948/Koukaku-Kidoutai-Stand-Alone-Complex-2nd-GIG--Individual-Eleven--Tachikoma-no-Hibi,2006,Winter,Special,1,3 mins,Finished,1237,62%,3,NaN,NaN,"Comedy,Mecha,Sci-Fi",633,529,27,27
74,74,Neko Ramen,3535/Neko-Ramen,2006,Winter,ONA,13,2 mins,Finished,907,56%,5,Think Corporation,Manga,Comedy,551,295,30,20
75,75,Mai-Otome Specials,1659/MaiOtome-Specials,2006,Winter,Special,9,3 mins,Finished,879,64%,4,NaN,Original,"Comedy,Drama,Fantasy",581,252,16,15
76,76,Makai Senki Disgaea: Welcome to Netherworld,6741/Makai-Senki-Disgaea-Welcome-to-Netherworld,2006,Winter,Special,1,5 mins,Finished,801,62%,3,NaN,Video Game,"Action,Comedy,Fantasy",503,247,20,17
77,77,ToHeart: Remember my memories - Heart Fighters,686/ToHeart-Remember-my-memories--Heart-Fighters,2006,Winter,Special,7,3 mins,Finished,583,55%,4,NaN,NaN,"Comedy,Sci-Fi",308,233,16,15
78,78,Ginga Tetsudou Monogatari: Wasurerareta Toki no Wakusei,3854/Ginga-Tetsudou-Monogatari-Wasurerareta-Toki-no-Wakusei,2006,Winter,OVA,4,30 mins,Finished,548,63%,1,NaN,Original,"Drama,Sci-Fi",278,206,27,20
79,79,Jinki:Extend - Sorekara,848/JinkiExtend--Sorekara,2006,Winter,OVA,1,23 mins,Finished,510,54%,1,NaN,Manga,"Mecha,Sci-Fi",292,186,11,11
80,80,Ankoku Cat,6721/Ankoku-Cat,2006,Winter,ONA,6,6 mins,Finished,451,50%,NaN,NaN,Original,Action,287,126,21,11
81,81,Koi Koi 7 Specials,2910/Koi-Koi-7-Specials,2006,Winter,Special,2,3 mins,Finished,447,53%,2,NaN,NaN,"Comedy,Ecchi",240,172,15,12
82,82,Catblue: Dynamite,1828/Catblue-Dynamite,2006,Winter,ONA,1,42 mins,Finished,344,52%,1,NaN,NaN,"Action,Fantasy",161,154,16,7
83,83,Gunparade Orchestra OVA,9445/Gunparade-Orchestra-OVA,2006,Winter,OVA,3,30 mins,Finished,194,50%,2,NaN,Video Game,Mecha,102,73,10,5
84,84,Tetsuro no Kanata,7982/Tetsuro-no-Kanata,2006,Winter,OVA,1,11 mins,Finished,194,46%,NaN,NaN,NaN,Adventure,143,36,8,5
85,85,Sore Ike! Anpanman: Utaou! Odorou! Minna no Christmas,17006/Sore-Ike-Anpanman-Utaou-Odorou-Minna-no-Christmas,2006,Winter,Special,1,48 mins,Finished,82,49%,NaN,NaN,NaN,"Comedy,Fantasy",43,19,13,4
86,86,Hoshi no Oujisama Petit Prince Specials,126318/Hoshi-no-Oujisama-Petit-Prince-Specials,2006,Winter,Special,4,24 mins,Finished,63,53%,NaN,NaN,Novel,Adventure,30,22,6,3
87,87,Happy Seven: The TV Manga - Chibi Chara Moshimo Gekijou,129867/Happy-Seven-The-TV-Manga--Chibi-Chara-Moshimo-Gekijou,2006,Winter,Special,7,2 mins,Finished,52,47%,1,Studio Hibari,Light Novel,"Comedy,Fantasy",28,16,4,3
88,88,Gintama,918/Gintama,2006,Spring,TV,201,25 mins,Finished,186683,85%,10592,Sunrise,Manga,"Action,Comedy,Drama,Sci-Fi",78777,46826,30350,22763
89,89,Ouran Koukou Host Club,853/Ouran-Koukou-Host-Club,2006,Spring,TV,26,24 mins,Finished,168092,80%,8116,bones,Manga,"Comedy,Drama,Romance,Slice of Life",116688,31037,8849,6388
90,90,BLACK LAGOON,889/BLACK-LAGOON,2006,Spring,TV,12,24 mins,Finished,146334,78%,4711,MADHOUSE,Manga,"Action,Adventure,Drama,Thriller",76692,55490,6386,4970
