,Title,Year,Season,Format,Episodes,EpisodeDuration,Status,Popularity,MeanScore,Favorites,Studios,Source,Genre,Completed,Planning,Current,Dropped
14,Kagihime Monogatari: Eikyuu Alice Rinbukyoku,2006,Winter,TV,13.0,24.0,Finished,1351.0,53.0,6.0,,Manga,Romance,694.0,440.0,94.0,64.0
15,Kinnikuman II Sei: Ultimate Muscle 2,2006,Winter,TV,13.0,20.0,Finished,1228.0,68.0,8.0,,Manga,Action,907.0,256.0,29.0,23.0
15,Kinnikuman II Sei: Ultimate Muscle 2,2006,Winter,TV,13.0,20.0,Finished,1228.0,68.0,8.0,,Manga,Comedy,907.0,256.0,29.0,23.0
15,Kinnikuman II Sei: Ultimate Muscle 2,2006,Winter,TV,13.0,20.0,Finished,1228.0,68.0,8.0,,Manga,Sci-Fi,907.0,256.0,29.0,23.0
15,Kinnikuman II Sei: Ultimate Muscle 2,2006,Winter,TV,13.0,20.0,Finished,1228.0,68.0,8.0,,Manga,Sports,907.0,256.0,29.0,23.0
16,Papillon Rose,2006,Winter,TV,6.0,25.0,Finished,1057.0,33.0,3.0,Studio Kelmadick,Original,Comedy,543.0,366.0,76.0,44.0
16,Papillon Rose,2006,Winter,TV,6.0,25.0,Finished,1057.0,33.0,3.0,Studio Kelmadick,Original,Ecchi,543.0,366.0,76.0,44.0
16,Papillon Rose,2006,Winter,TV,6.0,25.0,Finished,1057.0,33.0,3.0,Studio Kelmadick,Original,Mahou Shoujo,543.0,366.0,76.0,44.0
17,Ginyuu Mokushiroku Meine Liebe Wieder,2006,Winter,TV,13.0,24.0,Finished,914.0,58.0,1.0,,Visual Novel,Drama,500.0,321.0,33.0,31.0
17,Ginyuu Mokushiroku Meine Liebe Wieder,2006,Winter,TV,13.0,24.0,Finished,914.0,58.0,1.0,,Visual Novel,Fantasy,500.0,321.0,33.0,31.0
18,Youkai Ningen Bem (2006),2006,Winter,TV,26.0,25.0,Finished,695.0,56.0,6.0,,Original,Horror,369.0,209.0,43.0,40.0
19,Rakugo Tennyo Oyui,2006,Winter,TV,12.0,24.0,Finished,551.0,50.0,1.0,,Original,Comedy,335.0,132.0,32.0,29.0
20,Bakukyuu HIT! Crash B-Daman,2006,Winter,TV,50.0,23.0,Finished,382.0,50.0,1.0,,Original,Adventure,188.0,134.0,24.0,20.0
21,Wan Wan Serepu Soreyuke! Tetsunoshin,2006,Winter,TV,51.0,23.0,Finished,266.0,48.0,2.0,Studio Comet,Original,Comedy,161.0,52.0,22.0,21.0
21,Wan Wan Serepu Soreyuke! Tetsunoshin,2006,Winter,TV,51.0,23.0,Finished,266.0,48.0,2.0,Studio Comet,Original,Fantasy,161.0,52.0,22.0,21.0
22,Play Ball 2nd,2006,Winter,TV,13.0,20.0,Finished,153.0,51.0,2.0,,,Action,68.0,49.0,19.0,11.0
22,Play Ball 2nd,2006,Winter,TV,13.0,20.0,Finished,153.0,51.0,2.0,,,Sports,68.0,49.0,19.0,11.0
23,Rec,2006,Winter,TV Short,9.0,13.0,Finished,17965.0,69.0,96.0,Shaft,Manga,Comedy,10025.0,6904.0,371.0,338.0
23,Rec,2006,Winter,TV Short,9.0,13.0,Finished,17965.0,69.0,96.0,Shaft,Manga,Drama,10025.0,6904.0,371.0,338.0
23,Rec,2006,Winter,TV Short,9.0,13.0,Finished,17965.0,69.0,96.0,Shaft,Manga,Romance,10025.0,6904.0,371.0,338.0
24,Binchou-tan,2006,Winter,TV Short,12.0,12.0,Finished,2196.0,65.0,22.0,Studio DEEN,Manga,Comedy,1039.0,916.0,100.0,79.0
24,Binchou-tan,2006,Winter,TV Short,12.0,12.0,Finished,2196.0,65.0,22.0,Studio DEEN,Manga,Slice of Life,1039.0,916.0,100.0,79.0
25,Funny Pets,2006,Winter,TV Short,12.0,6.0,Finished,350.0,40.0,2.0,,,Comedy,176.0,116.0,31.0,16.0
26,Ocha-ken: Hotto Monogatari,2006,Winter,TV Short,13.0,3.0,Finished,95.0,53.0,1.0,Four Some,Other,Slice of Life,40.0,29.0,12.0,9.0
27,Furakappa,2006,Winter,TV Short,78.0,3.0,Finished,80.0,31.0,721.9090501121915,,Original,Comedy,32.0,24.0,17.0,4.0
28,Mushishi,2006,Winter,TV,26.0,25.0,Finished,121309.0,85.0,5371.0,Artland,Manga,Adventure,64241.0,38222.0,8098.0,7674.0
28,Mushishi,2006,Winter,TV,26.0,25.0,Finished,121309.0,85.0,5371.0,Artland,Manga,Fantasy,64241.0,38222.0,8098.0,7674.0
28,Mushishi,2006,Winter,TV,26.0,25.0,Finished,121309.0,85.0,5371.0,Artland,Manga,Mystery,64241.0,38222.0,8098.0,7674.0
28,Mushishi,2006,Winter,TV,26.0,25.0,Finished,121309.0,85.0,5371.0,Artland,Manga,Psychological,64241.0,38222.0,8098.0,7674.0
28,Mushishi,2006,Winter,TV,26.0,25.0,Finished,121309.0,85.0,5371.0,Artland,Manga,Slice of Life,64241.0,38222.0,8098.0,7674.0
28,Mushishi,2006,Winter,TV,26.0,25.0,Finished,121309.0,85.0,5371.0,Artland,Manga,Supernatural,64241.0,38222.0,8098.0,7674.0
29,Shakugan no Shana,2006,Winter,TV,24.0,24.0,Finished,67989.0,70.0,807.0,J.C. Staff,Light Novel,Action,37984.0,21696.0,3124.0,2645.0
29,Shakugan no Shana,2006,Winter,TV,24.0,24.0,Finished,67989.0,70.0,807.0,J.C. Staff,Light Novel,Comedy,37984.0,21696.0,3124.0,2645.0
29,Shakugan no Shana,2006,Winter,TV,24.0,24.0,Finished,67989.0,70.0,807.0,J.C. Staff,Light Novel,Drama,37984.0,21696.0,3124.0,2645.0
29,Shakugan no Shana,2006,Winter,TV,24.0,24.0,Finished,67989.0,70.0,807.0,J.C. Staff,Light Novel,Fantasy,37984.0,21696.0,3124.0,2645.0
29,Shakugan no Shana,2006,Winter,TV,24.0,24.0,Finished,67989.0,70.0,807.0,J.C. Staff,Light Novel,Romance,37984.0,21696.0,3124.0,2645.0
29,Shakugan no Shana,2006,Winter,TV,24.0,24.0,Finished,67989.0,70.0,807.0,J.C. Staff,Light Novel,Supernatural,37984.0,21696.0,3124.0,2645.0
30,Jigoku Shoujo,2006,Winter,TV,26.0,25.0,Finished,51586.0,71.0,635.0,Studio DEEN,Original,Drama,26085.0,17636.0,2792.0,2733.0
30,Jigoku Shoujo,2006,Winter,TV,26.0,25.0,Finished,51586.0,71.0,635.0,Studio DEEN,Original,Horror,26085.0,17636.0,2792.0,2733.0
30,Jigoku Shoujo,2006,Winter,TV,26.0,25.0,Finished,51586.0,71.0,635.0,Studio DEEN,Original,Mystery,26085.0,17636.0,2792.0,2733.0
30,Jigoku Shoujo,2006,Winter,TV,26.0,25.0,Finished,51586.0,71.0,635.0,Studio DEEN,Original,Psychological,26085.0,17636.0,2792.0,2733.0
30,Jigoku Shoujo,2006,Winter,TV,26.0,25.0,Finished,51586.0,71.0,635.0,Studio DEEN,Original,Supernatural,26085.0,17636.0,2792.0,2733.0
31,BLOOD+,2006,Winter,TV,50.0,24.0,Finished,40928.0,71.0,551.0,Production I.G,Original,Action,18768.0,16380.0,2083.0,2017.0
31,BLOOD+,2006,Winter,TV,50.0,24.0,Finished,40928.0,71.0,551.0,Production I.G,Original,Drama,18768.0,16380.0,2083.0,2017.0
31,BLOOD+,2006,Winter,TV,50.0,24.0,Finished,40928.0,71.0,551.0,Production I.G,Original,Horror,18768.0,16380.0,2083.0,2017.0
31,BLOOD+,2006,Winter,TV,50.0,24.0,Finished,40928.0,71.0,551.0,Production I.G,Original,Mystery,18768.0,16380.0,2083.0,2017.0
31,BLOOD+,2006,Winter,TV,50.0,24.0,Finished,40928.0,71.0,551.0,Production I.G,Original,Supernatural,18768.0,16380.0,2083.0,2017.0
32,Black Cat,2006,Winter,TV,23.0,24.0,Finished,28805.0,69.0,339.0,GONZO,Manga,Adventure,15641.0,9567.0,1289.0,1269.0
32,Black Cat,2006,Winter,TV,23.0,24.0,Finished,28805.0,69.0,339.0,GONZO,Manga,Comedy,15641.0,9567.0,1289.0,1269.0
32,Black Cat,2006,Winter,TV,23.0,24.0,Finished,28805.0,69.0,339.0,GONZO,Manga,Sci-Fi,15641.0,9567.0,1289.0,1269.0
